time,seconds_elapsed,z,y,x
1772094058696296200,0.080296142578125,-0.01340230368077755,0.02559512108564377,0.052420612424612045
1772094058706245000,0.0902451171875,-0.009899135679006577,-0.020468123257160187,0.05749892070889473
1772094058716194000,0.100194091796875,-0.004849782679229975,-0.036459870636463165,0.04108239710330963
1772094058726144000,0.11014404296875,-0.0007984931580722332,-0.0347692035138607,0.018757347017526627
1772094058736093000,0.120093017578125,-0.0015745381824672222,-0.04568736255168915,-0.007703288458287716
1772094058746042000,0.1300419921875,-0.002213343046605587,-0.0401233546435833,-0.032034728676080704
1772094058755991000,0.139990966796875,-0.002224261872470379,-0.021073762327432632,-0.04975993186235428
1772094058765940000,0.14993994140625,-0.009807262569665909,-0.010439305566251278,-0.046805236488580704
1772094058775890200,0.15989013671875,-0.01390080712735653,-0.026565279811620712,-0.030916549265384674
1772094058785839000,0.169839111328125,-0.009226998314261436,-0.031225817278027534,-0.013565592467784882
1772094058795788000,0.1797880859375,-0.0010090165305882692,-0.018658094108104706,0.0004484932869672775
1772094058805737000,0.189737060546875,0.008789402432739735,-0.013675715774297714,0.010276416316628456
1772094058815686000,0.199685791015625,0.01566275581717491,-0.01672237180173397,0.014372624456882477
1772094058825636000,0.209635986328125,0.015294631943106651,-0.009020315483212471,0.013778943568468094
1772094058835585000,0.2195849609375,0.004854774568229914,-0.012403861619532108,0.012061471119523048
1772094058845534200,0.2295341796875,-0.00013324152678251266,-0.012459864839911461,0.007576626725494862
1772094058855483100,0.239483154296875,-0.014788616448640823,-0.012916330248117447,0.007817110046744347
1772094058865432000,0.24943212890625,-0.01896578073501587,-0.02872559428215027,0.008203995414078236
1772094058875382000,0.259382080078125,-0.017335927113890648,-0.0340266153216362,-0.006093717645853758
1772094058885331200,0.269331298828125,-0.00906299240887165,-0.024474505335092545,-0.023878682404756546
1772094058895280000,0.279280029296875,-0.00573191000148654,-0.022850509732961655,-0.030924607068300247
1772094058905229000,0.28922900390625,-0.008299646899104118,-0.025299742817878723,-0.01843857392668724
1772094058915178000,0.299177978515625,-0.009221100248396397,-0.026158347725868225,0.00406859815120697
1772094058925128000,0.3091279296875,-0.007998530752956867,-0.02763771265745163,0.02882682904601097
1772094058935076900,0.319076904296875,-0.001975791761651635,-0.026418518275022507,0.05950910598039627
1772094058945026000,0.329026123046875,0.0026977495290338993,-0.02742680162191391,0.06207738816738129
1772094058954975200,0.338975341796875,0.00888134352862835,-0.017094800248742104,0.0556703545153141
1772094058964925000,0.348925048828125,0.009539764374494553,-0.016797076910734177,0.04109658673405647
1772094058974874000,0.3588740234375,0.004322898108512163,-0.012320837005972862,0.02598314732313156
1772094058984823000,0.368822998046875,0.0034710420295596123,-0.02179611660540104,0.007283077109605074
1772094058994772000,0.37877197265625,-0.003390326164662838,-0.02323821745812893,-0.013604627922177315
1772094059004721200,0.38872119140625,-0.007522445172071457,-0.02656790241599083,-0.03221852704882622
1772094059014671000,0.398671142578125,-0.01734737865626812,-0.03066730499267578,-0.04021706432104111
1772094059024620000,0.4086201171875,-0.022583290934562683,-0.04079153388738632,-0.042592499405145645
1772094059034569000,0.41856884765625,-0.022409122437238693,-0.035276662558317184,-0.0449717678129673
1772094059044518000,0.428517822265625,-0.01982491835951805,-0.02054356411099434,-0.03867935761809349
1772094059054467000,0.438467041015625,-0.016723133623600006,-0.023876778781414032,-0.021138448268175125
1772094059064417000,0.4484169921875,-0.012487554922699928,-0.02373937889933586,-0.008123733103275299
1772094059074366200,0.4583662109375,-0.00025219377130270004,-0.020222673192620277,-0.008379129692912102
1772094059084315100,0.468315185546875,0.009257419034838676,-0.00463738152757287,-0.011084296740591526
1772094059094264000,0.47826416015625,0.017787789925932884,-0.0011084266006946564,-0.007809674367308617
1772094059104214000,0.488214111328125,0.0206085704267025,-0.0004152711480855942,-0.01304970495402813
1772094059114163200,0.4981630859375,0.02055637165904045,-0.020395372062921524,-0.010486679151654243
1772094059124112100,0.508112060546875,0.008259892463684082,-0.035160306841135025,-0.004903131164610386
1772094059134061000,0.51806103515625,0.007737379986792803,-0.03008538857102394,-0.005037887021899223
1772094059144010000,0.528010009765625,0.007073319982737303,-0.05424654483795166,0.0010192422196269035
1772094059153960000,0.5379599609375,-0.0034421714954078197,-0.09660624712705612,0.01740460842847824
1772094059163908900,0.547908935546875,0.007202175445854664,-0.07777531445026398,0.02665635757148266
1772094059173858000,0.557858154296875,-0.0024738877546042204,-0.08415358513593674,0.024693874642252922
1772094059183807200,0.56780712890625,0.000593128614127636,-0.06013546139001846,0.022449158132076263
1772094059193756200,0.577756103515625,0.002349749207496643,-0.08142530918121338,0.030890578404068947
1772094059203706000,0.5877060546875,-0.04835425317287445,-0.09894870966672897,0.02226853184401989
1772094059213655000,0.597655029296875,-0.08648725599050522,-0.04470917582511902,-0.03328261151909828
1772094059223604000,0.60760400390625,-0.10179479420185089,0.013064557686448097,-0.09139852970838547
1772094059233553200,0.61755322265625,-0.11212572455406189,-0.0007628416642546654,-0.09704922139644623
1772094059243502000,0.627502197265625,-0.13125213980674744,0.028486019000411034,-0.07353940606117249
1772094059253452000,0.6374521484375,-0.12243548780679703,0.03778684511780739,-0.04403344914317131
1772094059263401000,0.64740087890625,-0.08158886432647705,0.04889194667339325,-0.006719448138028383
1772094059273350000,0.657349853515625,-0.03608262911438942,0.03468132019042969,0.04950147867202759
1772094059283299000,0.667299072265625,0.005299694370478392,0.023813968524336815,0.10881254822015762
1772094059293249000,0.6772490234375,0.047580040991306305,-0.04070723429322243,0.16635972261428833
1772094059303198200,0.6871982421875,0.04028782248497009,-0.07632272690534592,0.20395900309085846
1772094059313147100,0.697147216796875,0.03963668271899223,-0.09375551342964172,0.1827477216720581
1772094059323096000,0.707095947265625,0.0007885545492172241,-0.09046825021505356,0.1377551257610321
1772094059333045000,0.717044921875,-0.015525703318417072,-0.07032783329486847,0.07632078975439072
1772094059342995200,0.7269951171875,-0.038403403013944626,-0.0132607351988554,0.0319582037627697
1772094059352944000,0.736944091796875,-0.059038907289505005,0.010040059685707092,-0.002245039213448763
1772094059362893000,0.74689306640625,-0.055607013404369354,-0.016589827835559845,0.005223732907325029
1772094059372842000,0.756842041015625,-0.04745614528656006,-0.06635578721761703,0.03820245340466499
1772094059382791200,0.766791259765625,-0.029286684468388557,-0.07847528904676437,0.0686350017786026
1772094059392740900,0.776740966796875,-0.01683827117085457,-0.11374752968549728,0.07438503205776215
1772094059402690000,0.78668994140625,-0.01830003224313259,-0.12695789337158203,0.09160134941339493
1772094059412639200,0.79663916015625,-0.009965936653316021,-0.11126788705587387,0.09686801582574844
1772094059422588200,0.806588134765625,-0.02290269359946251,-0.09887878596782684,0.10445835441350937
1772094059432537000,0.816537109375,-0.03669413924217224,-0.11348648369312286,0.11586201190948486
1772094059442487000,0.826487060546875,-0.034131329506635666,-0.09343424439430237,0.12621909379959106
