time,seconds_elapsed,z,y,x
1772045521065233700,0.073233642578125,-0.15036392211914062,-0.38882696628570557,-0.15319952368736267
1772045521075219000,0.083218994140625,-0.21750780940055847,-0.5380380153656006,-0.1044362410902977
1772045521085204700,0.093204833984375,-0.2842881381511688,-0.6829434037208557,-0.08462321758270264
1772045521095190800,0.103190673828125,-0.3476404547691345,-0.8142894506454468,-0.06743624061346054
1772045521105176800,0.1131767578125,-0.3963797092437744,-0.8777208924293518,-0.05254282057285309
1772045521115163000,0.123162841796875,-0.419750839471817,-0.8742806315422058,-0.029125645756721497
1772045521125148700,0.133148681640625,-0.40453824400901794,-0.8330104947090149,-0.015698827803134918
1772045521135134700,0.143134765625,-0.3504824638366699,-0.7619669437408447,-0.004660558886826038
1772045521145120800,0.153120849609375,-0.2642318606376648,-0.6977002024650574,-0.0007313515525311232
1772045521155105800,0.163105712890625,-0.173848956823349,-0.6214779019355774,-0.01332277711480856
1772045521165091800,0.173091796875,-0.10483776032924652,-0.5415084362030029,-0.04295717552304268
1772045521175078000,0.183077880859375,-0.08158756047487259,-0.4855916500091553,-0.09220008552074432
1772045521185064000,0.19306396484375,-0.09815956652164459,-0.4893497824668884,-0.16432471573352814
1772045521195049700,0.2030498046875,-0.1358526200056076,-0.5203495025634766,-0.25323542952537537
1772045521205036000,0.2130361328125,-0.17178750038146973,-0.5235869884490967,-0.3454272747039795
1772045521215021800,0.223021728515625,-0.17554441094398499,-0.409995973110199,-0.4162258207798004
1772045521225006800,0.2330068359375,-0.1770697385072708,-0.2764450013637543,-0.48091962933540344
1772045521234992600,0.24299267578125,-0.13572975993156433,-0.30579492449760437,-0.5125987529754639
1772045521244979000,0.25297900390625,-0.008613234385848045,-0.541037380695343,-0.5287597179412842
1772045521254964700,0.26296484375,0.059928540140390396,-0.7665013670921326,-0.5838698744773865
1772045521264950800,0.27295068359375,0.060556843876838684,-0.9552855491638184,-0.6225234270095825
1772045521274936800,0.282936767578125,0.026992756873369217,-1.0670210123062134,-0.6114580035209656
1772045521284923000,0.2929228515625,0.01792888157069683,-1.0502455234527588,-0.5521233081817627
1772045521294908000,0.302907958984375,0.08658118546009064,-1.0883476734161377,-0.4722217619419098
1772045521304893700,0.312893798828125,0.24927884340286255,-1.218538761138916,-0.3295579254627228
1772045521314880000,0.3228798828125,0.39993971586227417,-1.4736946821212769,-0.15483617782592773
1772045521324865800,0.33286572265625,0.49590054154396057,-1.7021492719650269,0.01584392786026001
1772045521334851800,0.342851806640625,0.5713052153587341,-1.6639928817749023,0.10262595862150192
1772045521344838000,0.352837890625,0.6064039468765259,-1.3436843156814575,0.03429693356156349
1772045521354824000,0.362823974609375,0.5739178657531738,-1.1318578720092773,-0.02203691378235817
1772045521364808700,0.37280859375,0.5443539023399353,-0.9323862195014954,-0.0324365496635437
1772045521374794800,0.382794677734375,0.5780564546585083,-0.7760735750198364,-0.011982674710452557
1772045521384780800,0.39278076171875,0.6828702688217163,-0.6378118395805359,0.005020126234740019
1772045521394766800,0.402766845703125,0.8386310935020447,-0.6733165979385376,-0.017303822562098503
1772045521404752600,0.412752685546875,1.055694341659546,-0.9512601494789124,-0.10140874981880188
1772045521414739000,0.422739013671875,1.2921696901321411,-1.2530567646026611,-0.21309798955917358
1772045521424724700,0.432724853515625,1.5147045850753784,-1.470950722694397,-0.3171108663082123
1772045521434709800,0.442709716796875,1.7151167392730713,-1.701249122619629,-0.39550793170928955
1772045521444695800,0.45269580078125,1.857195496559143,-1.9380521774291992,-0.39989951252937317
1772045521454681900,0.462681884765625,1.925937533378601,-2.268636703491211,-0.2956109344959259
1772045521464668000,0.47266796875,1.9419701099395752,-2.752418041229248,-0.1169588640332222
1772045521474653700,0.48265380859375,2.0078787803649902,-3.3675270080566406,0.05741294100880623
1772045521484640000,0.492639892578125,2.0772390365600586,-3.9805476665496826,0.2148987203836441
1772045521494625800,0.502625732421875,2.1805667877197266,-4.488440990447998,0.37847432494163513
1772045521504610800,0.51261083984375,2.312021017074585,-4.827889919281006,0.6428622007369995
1772045521514596600,0.5225966796875,2.4027249813079834,-5.0761847496032715,1.0411038398742676
1772045521524583000,0.5325830078125,2.429903268814087,-5.165224552154541,1.482433557510376
1772045521534568700,0.542568603515625,2.4386484622955322,-4.972007751464844,1.7971144914627075
1772045521544554800,0.5525546875,2.378330945968628,-4.561474800109863,1.9010180234909058
1772045521554540800,0.562540771484375,2.2744948863983154,-4.06954288482666,1.818213701248169
1772045521564526800,0.57252685546875,2.1803739070892334,-3.7461016178131104,1.658117413520813
1772045521574511900,0.582511962890625,2.064894437789917,-3.6961758136749268,1.5347238779067993
1772045521584498000,0.592497802734375,1.956906795501709,-3.9804677963256836,1.5192855596542358
1772045521594484000,0.60248388671875,1.858510136604309,-4.406300067901611,1.698891520500183
1772045521604469800,0.6124697265625,1.8377162218093872,-4.722371578216553,1.8984624147415161
1772045521614455800,0.622455810546875,1.8516054153442383,-4.7872419357299805,1.9856759309768677
1772045521624441900,0.63244189453125,1.9123185873031616,-4.635654449462891,1.8769829273223877
1772045521634428000,0.642427978515625,1.9945341348648071,-4.350633144378662,1.6567424535751343
1772045521644412700,0.65241259765625,2.044909954071045,-4.044731140136719,1.4288910627365112
1772045521654399000,0.66239892578125,2.031167984008789,-3.758040428161621,1.2449771165847778
1772045521664384800,0.672384765625,1.9552098512649536,-3.4906697273254395,1.1260162591934204
1772045521674370800,0.682370849609375,1.8884968757629395,-3.241401433944702,1.0839675664901733
1772045521684356900,0.69235693359375,1.8730007410049438,-3.001542091369629,1.0965760946273804
1772045521694343000,0.702343017578125,1.903991460800171,-2.7521941661834717,1.1197940111160278
1772045521704328700,0.71232861328125,1.9445924758911133,-2.478534698486328,1.12218177318573
1772045521714313700,0.722313720703125,1.9664889574050903,-2.1832051277160645,1.0974671840667725
1772045521724300000,0.732300048828125,1.957064151763916,-1.900957465171814,1.0457206964492798
1772045521734285800,0.742285888671875,1.9110959768295288,-1.6556646823883057,0.9507001638412476
1772045521744272000,0.75227197265625,1.8308910131454468,-1.4701930284500122,0.800919234752655
1772045521754258000,0.7622578125,1.7415283918380737,-1.345353603363037,0.6404070854187012
1772045521764244000,0.772243896484375,1.631453514099121,-1.242533564567566,0.4964923560619354
1772045521774228700,0.782228759765625,1.5306323766708374,-1.1477844715118408,0.3859887421131134
1772045521784214800,0.79221484375,1.4558063745498657,-1.0501056909561157,0.3309151530265808
1772045521794200800,0.802200927734375,1.4192397594451904,-0.9204662442207336,0.308817058801651
1772045521804187000,0.812186767578125,1.3986774682998657,-0.7903817296028137,0.28934621810913086
1772045521814172700,0.822172607421875,1.3538873195648193,-0.6907813549041748,0.24110223352909088
1772045521824159000,0.832158935546875,1.2514922618865967,-0.6407010555267334,0.1369161158800125
1772045521834144800,0.842144775390625,1.159347653388977,-0.6006268858909607,0.06997036933898926
1772045521844129800,0.8521298828125,1.0777227878570557,-0.5760751366615295,0.08303971588611603
1772045521854115800,0.86211572265625,1.00444757938385,-0.6115902662277222,0.12803809344768524
1772045521864102000,0.872101806640625,0.9150246977806091,-0.6557876467704773,0.2229604572057724
1772045521874088000,0.882087890625,0.8077203631401062,-0.7017649412155151,0.39376896619796753
1772045521884073700,0.89207373046875,0.6751939654350281,-0.7294096946716309,0.623039960861206
1772045521894059800,0.902059814453125,0.5449443459510803,-0.721401035785675,0.8737353086471558
1772045521904044800,0.912044921875,0.44322606921195984,-0.6849484443664551,1.0884793996810913
1772045521914030800,0.92203076171875,0.36683622002601624,-0.6187134981155396,1.1789624691009521
1772045521924016600,0.9320166015625,0.29460129141807556,-0.5478314757347107,1.0912772417068481
1772045521934003000,0.9420029296875,0.25638309121131897,-0.49218764901161194,0.9138753414154053
1772045521943988700,0.95198876953125,0.23041148483753204,-0.4396674931049347,0.7765488624572754
1772045521953974800,0.961974853515625,0.2716899514198303,-0.3900810182094574,0.7547391653060913
1772045521963960800,0.9719609375,0.4089283347129822,-0.3920021653175354,0.8525295853614807
1772045521973945900,0.98194580078125,0.6282151341438293,-0.4291716516017914,1.0701732635498047
1772045521983932000,0.991931884765625,0.8666685819625854,-0.6149777173995972,1.3611936569213867
1772045521993917700,1.001917724609375,1.0876307487487793,-0.8670810461044312,1.7272992134094238
1772045522003903700,1.01190380859375,1.2627406120300293,-1.1278420686721802,2.126192569732666
1772045522013889800,1.021889892578125,1.3375169038772583,-1.3658889532089233,2.4262194633483887
1772045522023875800,1.031875732421875,1.2723650932312012,-1.5111273527145386,2.5461575984954834
1772045522033860900,1.04186083984375,1.0535017251968384,-1.4888063669204712,2.4718751907348633
1772045522043847000,1.051846923828125,0.7555893659591675,-1.1149741411209106,2.3519318103790283
1772045522053833700,1.061833740234375,0.44384345412254333,-0.4136786162853241,2.3421404361724854
1772045522063819500,1.071819580078125,0.13584542274475098,0.08228807896375656,2.465353012084961
1772045522073805600,1.0818056640625,-0.14149697124958038,0.017023853957653046,2.62500262260437
1772045522083791600,1.09179150390625,-0.4138045012950897,-0.6296593546867371,2.7287893295288086
1772045522093777700,1.101777587890625,-0.6639387011528015,-1.4690968990325928,2.823307752609253
1772045522103762700,1.1117626953125,-0.8485957384109497,-2.0705056190490723,2.919583797454834
1772045522113748500,1.12174853515625,-1.0066415071487427,-2.2379932403564453,2.9642138481140137
1772045522123734800,1.13173486328125,-1.0736538171768188,-2.05815052986145,2.860600709915161
1772045522133720600,1.141720458984375,-1.0535379648208618,-1.9287556409835815,2.565002679824829
1772045522143706600,1.15170654296875,-0.8909059762954712,-1.818525791168213,2.108388900756836
1772045522153692700,1.161692626953125,-0.6231245994567871,-1.727835774421692,1.6392163038253784
1772045522163677700,1.171677734375,-0.3887205421924591,-1.7147595882415771,1.2710447311401367
1772045522173663700,1.181663818359375,-0.26558127999305725,-1.6136664152145386,1.2350348234176636
1772045522183649500,1.1916494140625,-0.28882506489753723,-1.5015078783035278,1.531614899635315
1772045522193635600,1.201635498046875,-0.43699508905410767,-1.3470773696899414,2.0006344318389893
1772045522203621600,1.21162158203125,-0.6527146100997925,-1.2294930219650269,2.471078634262085
1772045522213607400,1.221607421875,-0.874675452709198,-1.1772929430007935,2.8207755088806152
1772045522223593700,1.23159375,-1.0230170488357544,-1.148584246635437,3.028407096862793
1772045522233578800,1.241578857421875,-1.0699288845062256,-1.135560393333435,3.120122194290161
1772045522243564500,1.251564453125,-1.0461952686309814,-1.1286990642547607,3.125788688659668
1772045522253550800,1.26155078125,-0.9839990139007568,-1.131152868270874,3.062114715576172
1772045522263536600,1.27153662109375,-0.9111538529396057,-1.1508914232254028,2.949035167694092
1772045522273522700,1.281522705078125,-0.8643363118171692,-1.1600534915924072,2.807776927947998
1772045522283508500,1.291508544921875,-0.8634545803070068,-1.1252598762512207,2.6543080806732178
1772045522293494800,1.301494873046875,-0.9257949590682983,-1.038328766822815,2.4930179119110107
1772045522303479600,1.3114794921875,-1.0222132205963135,-0.9595854878425598,2.3048622608184814
1772045522313465600,1.321465576171875,-1.1216599941253662,-0.8894767165184021,2.088658094406128
1772045522323451600,1.33145166015625,-1.192564606666565,-0.806390643119812,1.842308521270752
1772045522333437700,1.341437744140625,-1.2283655405044556,-0.744376540184021,1.5708086490631104
1772045522343423500,1.351423583984375,-1.2244577407836914,-0.6902579665184021,1.3368760347366333
1772045522353409800,1.361409912109375,-1.185326099395752,-0.605618953704834,1.1546233892440796
